url,parent,child,depth
https://www.nseindia.com/companies-listing/raising-capital-public-issues-eligibility-equity-debt,companies-listing,raising-capital-public-issues-eligibility-equity-debt,2
https://www.nseindia.com/market-data/new-stock-exchange-listings-today,market-data,new-stock-exchange-listings-today,2
https://www.nseindia.com/all-reports-debt,,all-reports-debt,1
https://www.nseindia.com/nse-investments,,nse-investments,1
https://www.nseindia.com/contact/corporate-office,contact,corporate-office,2
https://www.nseindia.com/option-chain,,option-chain,1
https://www.nseindia.com/learn/courses-for-working-professionals,learn,courses-for-working-professionals,2
https://www.nseindia.com/companies-listing/sebi-regulations,companies-listing,sebi-regulations,2
https://www.nseindia.com/national-stock-exchange/awards-recognition,national-stock-exchange,awards-recognition,2
https://www.nseindia.com/market-data/live-equity-market?symbol=NIFTY%20AUTO,market-data,live-equity-market,2
https://www.nseindia.com/nseit,,nseit,1
https://www.nseindia.com/regulations/exchange-defaulting-clients,regulations,exchange-defaulting-clients,2
https://www.nseindia.com/regulations/exchange-market-surveillance-actions,regulations,exchange-market-surveillance-actions,2
https://www.nseindia.com/trade/membership-using-enit,trade,membership-using-enit,2
https://www.nseindia.com/structure-key-personnel/corporate-structure,structure-key-personnel,corporate-structure,2
https://www.nseindia.com/products-services/about-commodity-derivatives,products-services,about-commodity-derivatives,2
https://www.nseindia.com/nse-data-and-analytics,,nse-data-and-analytics,1
https://www.nseindia.com/companies-listing/circular-for-listed-companies-equity-market,companies-listing,circular-for-listed-companies-equity-market,2
https://www.nseindia.com/invest/exit-option-for-share-holders,invest,exit-option-for-share-holders,2
https://www.nseindia.com/market-data/live-equity-market?symbol=NIFTY%20MIDCAP%2050,market-data,live-equity-market,2
https://www.nseindia.com/market-data/non-display-data,market-data,non-display-data,2
https://www.nseindia.com/trade/member-services-help-guide,trade,member-services-help-guide,2
https://www.nseindia.com/invest/first-time-investor-stamp-duty-charges-taxes,invest,first-time-investor-stamp-duty-charges-taxes,2
https://www.nseindia.com/learn/ncfm-prepare-for-a-test,learn,ncfm-prepare-for-a-test,2
https://www.nseindia.com/market-data/analytical-products,market-data,analytical-products,2
https://www.nseindia.com/companies-listing/corporate-filings-shareholding-pattern,companies-listing,corporate-filings-shareholding-pattern,2
https://www.nseindia.com/trade/admission-process-documents-to-become-a-member,trade,admission-process-documents-to-become-a-member,2
https://www.nseindia.com/nse-clearing,,nse-clearing,1
https://www.nseindia.com/invest/first-time-investor-foreign-investment-limits,invest,first-time-investor-foreign-investment-limits,2
